               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 133,             0.03085,            0.024593,           0.0085191,              0.7749,             0.48172,              0.5226,             0.34677,            0.045866,            0.034473,            0.022886,            0.001288,            0.001288,            0.001288
                 134,            0.030072,            0.024384,           0.0078502,             0.78539,             0.47413,             0.51872,             0.34539,            0.045656,            0.034357,            0.023133,            0.001222,            0.001222,            0.001222
                 135,            0.031346,            0.023883,           0.0087114,              0.7404,             0.47612,             0.51983,             0.33937,            0.045681,            0.034142,            0.023126,            0.001156,            0.001156,            0.001156
                 136,            0.030048,            0.024605,           0.0079013,             0.72888,             0.48646,             0.52376,             0.34609,            0.045857,            0.034156,            0.023414,             0.00109,             0.00109,             0.00109
                 137,            0.029016,            0.023796,           0.0078087,             0.72784,             0.48658,             0.52201,             0.34885,            0.045428,            0.033853,            0.022618,            0.001024,            0.001024,            0.001024
                 138,            0.030089,            0.023877,           0.0082677,             0.72522,             0.48386,             0.52198,             0.34325,              0.0456,            0.034174,             0.02255,            0.000958,            0.000958,            0.000958
                 139,            0.029492,            0.023566,            0.008394,             0.76297,             0.48034,             0.52686,             0.34903,            0.045455,            0.034054,            0.022948,            0.000892,            0.000892,            0.000892
                 140,            0.029484,            0.022909,           0.0080637,             0.77268,             0.47374,             0.52939,              0.3526,            0.045509,            0.034192,              0.0231,            0.000826,            0.000826,            0.000826
                 141,            0.030202,            0.023888,           0.0084865,             0.75931,             0.48448,             0.52024,             0.34636,            0.045462,            0.034287,            0.022871,             0.00076,             0.00076,             0.00076
                 142,            0.029787,            0.023749,           0.0080465,             0.73977,             0.48637,             0.52696,             0.34234,            0.045428,             0.03442,            0.022848,            0.000694,            0.000694,            0.000694
                 143,            0.029493,            0.023378,           0.0075634,             0.74513,             0.49052,             0.52594,             0.34672,            0.045729,             0.03506,            0.023448,            0.000628,            0.000628,            0.000628
                 144,            0.028858,            0.023077,           0.0079128,             0.75706,             0.49187,              0.5241,             0.34845,            0.045744,            0.035228,            0.023281,            0.000562,            0.000562,            0.000562
                 145,            0.029642,            0.022371,           0.0083686,             0.76311,             0.47157,             0.51558,              0.3428,            0.045615,            0.035252,            0.023037,            0.000496,            0.000496,            0.000496
                 146,            0.030705,            0.023907,           0.0084055,              0.7591,             0.48249,             0.52139,             0.34174,            0.045568,            0.035187,            0.023235,             0.00043,             0.00043,             0.00043
                 147,            0.029528,            0.024033,           0.0080181,             0.77323,             0.48641,             0.52262,             0.34533,            0.045535,            0.034803,             0.02299,            0.000364,            0.000364,            0.000364
                 148,            0.029199,            0.023598,           0.0078916,             0.76564,             0.48823,             0.52372,             0.34543,            0.045635,            0.034789,            0.022989,            0.000298,            0.000298,            0.000298
                 149,            0.029048,            0.023566,           0.0079324,             0.76529,             0.48862,             0.52579,             0.35121,            0.045554,            0.034679,            0.022958,            0.000232,            0.000232,            0.000232
